Investor,Total_Invested,Num_Investments,Last_Date,Top_Sub_Sectors,Top_Stages,Top_Cities,Avg_HHI,Avg_Unique_Leads,Last_Investment
Kaizenvest,290.5,1,2020-01-04,Edtech,Series D,Mumbai,0.5,2.0,2020-01-04
Dalip Pathak And Others,290.5,1,2018-05-04,Consumer Internet,Private Equity,Mumbai,0.33,3.0,2018-05-04
Promaft Partners,290.5,1,2025-06-16,Consumer / Enterprise,Unknown,Delhi,0.2,5.0,2025-06-16
Sumitomo Mitsui Banking Corporation’S Asia Rising Fund,290.5,1,2024-11-23,Home Financing,Other,Mumbai,0.33,3.0,2024-11-23
Alibaba Pictures,290.5,1,2017-01-08,Consumer Internet,Private Equity,Chennai,1.0,1.0,2017-01-08
Apis Partners,290.5,1,2016-01-23,Technology,Private Equity,Mumbai,1.0,1.0,2016-01-23
George Osborne,290.5,1,2020-11-05,Fintech,Series B,Bangalore,0.5,2.0,2020-11-05
Smilegate Investment,290.5,1,2020-11-05,Fintech,Series B,Bangalore,0.5,2.0,2020-11-05
Carrick Capital Partners,290.5,1,2015-06-23,Big Data & Analytics,Private Equity,Pune,1.0,1.0,2015-06-23
Heromotocorp Ltd And Sachin Bansal,290.5,1,2020-11-02,Automobiles,Series D,Bangalore,1.0,1.0,2020-11-02
Magnifico,290.5,1,2025-01-05,Fintech,Unspecified Round,Mumbai,0.33,3.0,2025-01-05
Archerman Capital,290.5,1,2025-01-05,Fintech,Unspecified Round,Mumbai,0.33,3.0,2025-01-05
Axis Bank,290.5,2,2018-01-06,"Healthcare, Mobile Point Of Sale Payment Solution","Debt, Private Equity","Bangalore, Nan",0.33,4.0,2018-01-06
Y Combiunknowntor And Accel,289.67,1,2022-06-09,Healthcare,Series B,Bangalore,1.0,1.0,2022-06-09
Alpha Capital,288.84,2,2018-06-03,"Fintech, Ecommerce",Private Equity,Mumbai,1.0,1.0,2018-06-03
Founders Fund,286.35,2,2025-02-09,"Managed Care, Devicesasaservice Daas","Series A, Pre-Series A",Bangalore,0.21,5.0,2025-02-09
Rehan A Khan And Anubhav Jain,285.52,1,2022-11-27,Chemical,Seed,Gurgaon,1.0,1.0,2022-11-27
Tetrao,285.27,1,2020-01-02,"Industry, Manufacturing",Series C,Mumbai,0.5,2.0,2020-01-02
Bessemer,284.91,2,2025-04-06,"Fintech, Beauty","Unspecified Round, Unknown","Pune, Mumbai",0.67,2.0,2025-04-06
Sauce.Vc,284.65,6,2025-02-16,"Retail, Gaming Console, Healthcare","Series C, Pre-Series A, Other","Gurgaon, Mumbai, Bangalore",0.55,2.43,2025-02-16
Better Capital And Amit Damani,282.2,1,2022-11-18,Ecommerce,Seed,Nan,1.0,1.0,2022-11-18
Ward Ferry Maunknowngement And Karst Peak Capital,282.2,1,2017-08-12,Consumer Internet,Private Equity,Bangalore,1.0,1.0,2017-08-12
Eduardo Saverin,282.2,2,2017-12-24,"Other, Ecommerce, Technology",Private Equity,"Mumbai, Nan",0.83,1.33,2017-12-24
8Vc,282.2,2,2024-11-16,"Managed Care, Ai","Series A, Seed","Bangalore, Chennai",0.38,3.0,2024-11-16
Indiamart,282.2,3,2024-12-23,"Computer Software, Retail Intelligence","Series B, Pre-Series A","Bangalore, Gurgaon",0.61,2.0,2024-12-23
360 Asset Maunknowngement Fund,280.0,1,2025-05-06,Fashion,Series B,Bangalore,1.0,1.0,2025-05-06
Antler India,277.4,7,2025-07-07,"Fintech, Visual Telematics, B2B Healthcare Financing","Seed, Pre-Seed, Pre-Series A","Mumbai, Bangalore, Delhi",0.7,2.29,2025-07-07
Affle And Korea Investment Partners,275.56,1,2022-11-16,Ecommerce,Series C,Gurgaon,1.0,1.0,2022-11-16
Ramakant Sharma,274.73,8,2025-06-18,"Gaming, Smart Kitchen Appliances, Dating","Seed, Series A, Pre-Series A","Delhi, Bangalore, Mumbai",0.35,4.22,2025-06-18
Goodworker.,273.9,1,2020-11-19,Job Portal,Unknown,Nan,1.0,1.0,2020-11-19
Greenoaks,273.9,2,2022-01-07,"Online Media, Technology","Series A, Series C",Bangalore,0.75,1.5,2022-01-07
Village Global,269.75,3,2024-12-18,"Risk Intelligence, Media, Saas","Seed, Series B","Bangalore, Nan",0.2,5.33,2024-12-18
Axis Capital,268.92,2,2017-06-08,"Consumer Internet, Ecommerce",Private Equity,"Bangalore, Mumbai",0.24,5.0,2017-06-08
Ankiti Bose,265.6,1,2021-12-27,Social,Seed,Gurgaon,0.33,3.0,2021-12-27
Mayfield Ventures,265.6,4,2016-10-05,"Other, Online Food Delivery, Consumer Internet",Private Equity,"Mumbai, Bangalore, Nan",0.67,1.8,2016-10-05
Ritesh Agarwal,265.6,1,2021-12-27,Social,Seed,Gurgaon,0.33,3.0,2021-12-27
Fs,265.6,1,2017-10-27,Fintech,Private Equity,Mumbai,0.2,5.0,2017-10-27
Innogy,265.6,1,2018-09-18,Technology,Private Equity,Bangalore,0.25,4.0,2018-09-18
Itai Tsiddon,265.6,1,2022-01-16,Fintech,Series A,Bangalore,0.33,3.0,2022-01-16
Accel And Kae Capital,265.6,1,2020-01-19,Manufacturing,Series B,Bangalore,0.33,3.0,2020-01-19
Radhakrishan Damani And Rakesh Jhunjhunwala,265.6,1,2017-10-27,Fintech,Private Equity,Mumbai,0.2,5.0,2017-10-27
And Teunknownska,265.6,1,2018-09-18,Technology,Private Equity,Bangalore,0.25,4.0,2018-09-18
Natiounknownl Quantum Mission,265.6,1,2025-07-03,Advanced Hardware & Technology,Series A,Bangalore,0.5,2.0,2025-07-03
Clp Holdings Group,265.6,1,2018-09-18,Technology,Private Equity,Bangalore,0.25,4.0,2018-09-18
Lightspeed And Greenoaks Capital,265.6,1,2020-01-19,Manufacturing,Series B,Bangalore,0.33,3.0,2020-01-19
Trust Capital,265.6,1,2017-10-27,Fintech,Private Equity,Mumbai,0.2,5.0,2017-10-27
Bitkraft Ventures,265.6,1,2022-01-16,Fintech,Series A,Bangalore,0.33,3.0,2022-01-16
\\Xc3\\X98Rstead,265.6,1,2018-09-18,Technology,Private Equity,Bangalore,0.25,4.0,2018-09-18
Rosy Blue Securities,265.6,1,2017-10-27,Fintech,Private Equity,Mumbai,0.2,5.0,2017-10-27
Qed Investors,263.11,2,2025-01-09,"Credit Card Issuance, Credit & Financial","Other, Pre-Series A","Pune, Bangalore",0.25,4.0,2025-01-09
Tree Line Asia,262.28,1,2015-12-12,"Digital / Mobile Wallet, Mobile Wallet",Private Equity,Gurgaon,0.29,3.5,2015-12-12
Indiaquotient,261.79,3,2025-09-01,"Fintech, Manufacturing, Ecommerce","Series D, Pre-Series A, Seed","Ahmedabad, Bangalore, Gurgaon",0.62,2.5,2025-09-01
Vivriti Capital,260.02,4,2021-07-22,"Fintech, Automobile","Unknown, Debt","Bangalore, Gurgaon, Mumbai",0.52,2.5,2021-07-22
Goldman Sachs Group,259.79,1,2016-09-02,Ecommerce,Private Equity,Mumbai,0.25,4.0,2016-09-02
Razorpay,259.79,3,2025-06-04,"Information&Technology, Edtech, Fintech","Series A, Pre-Series A, Unknown","Gurgaon, Mumbai, Bangalore",0.83,1.33,2025-06-04
Ashish Gupta,258.75,3,2022-04-26,"Consumer Internet, Design, Information Technology &","Seed, Unknown, Pre-Series A","Gurgaon, Bangalore, Hyderabad",0.5,3.33,2022-04-26
Nicolas Walewski,257.3,1,2025-10-13,Fintech,"Debt, Seed",Nan,1.0,1.0,2025-10-13
Pidilite Group,257.3,1,2020-08-14,Interior Design,Series D,Chennai,0.33,3.0,2020-08-14
Evolvence India Fund (Eif),257.3,1,2020-08-14,Interior Design,Series D,Chennai,0.33,3.0,2020-08-14
Ucunknownrnt Fund,257.3,1,2017-06-15,Technology,Private Equity,Mumbai,0.25,4.0,2017-06-15
Teachers Insurance And Annuity Association (Tiaa),257.3,1,2018-11-21,Investment,Other,Mumbai,1.0,1.0,2018-11-21
Epsilon Venture Partners,257.3,2,2017-10-11,Technology,Private Equity,"Bangalore, Hyderabad",0.75,1.5,2017-10-11
Bace Capital,257.3,3,2021-10-18,"Edtech, Gaming","Series B, Pre-Seed, Unknown","Mumbai, Pune, Noida",0.45,3.2,2021-10-18
Alcon Edge Capital,257.3,1,2017-06-15,Technology,Private Equity,Mumbai,0.25,4.0,2017-06-15
Akhil Gupta And Lowercarbon Capital,255.64,1,2022-06-09,Cleantech,Seed,Mumbai,1.0,1.0,2022-06-09
Edelweiss Discover Fund,255.0,1,2024-10-13,Jewelry,Series B,Bangalore,0.33,3.0,2024-10-13
Unicorn India Ventures,252.7,23,2025-09-20,"Fintech, Technology, Iot","Seed, Pre-Series A, Unknown","Bangalore, Hyderabad, Kochi",0.79,1.69,2025-09-20
Balaji Srinivasan,252.07,2,2021-07-27,"Information Technology, Social Media","Seed, Series B",Bangalore,0.75,1.5,2021-07-27
Uber,251.7,1,2024-09-07,Mobility,Series C,Nan,1.0,1.0,2024-09-07
Ggv Capital,251.37,2,2020-08-08,"Healthcare, Fintech",Unknown,"Gurgaon, Bangalore",0.35,3.5,2020-08-08
Ds Group,250.0,1,2025-01-24,Nutraceutical,Equity,Hyderabad,0.33,3.0,2025-01-24
Family Office Of Sriharsha Majety (Swiggy),250.0,1,2025-02-24,Seafood Supply,Ipo,Bangalore,0.14,7.0,2025-02-24
Shivalik Prints,250.0,1,2025-02-24,Seafood Supply,Ipo,Bangalore,0.14,7.0,2025-02-24
Sid Khanunknown,250.0,1,2025-02-24,Seafood Supply,Ipo,Bangalore,0.14,7.0,2025-02-24
Sunjay Kapur,250.0,1,2025-02-24,Seafood Supply,Ipo,Bangalore,0.14,7.0,2025-02-24
Sbi,250.0,1,2024-09-01,Defence,Other,Nan,0.2,5.0,2024-09-01
Vyom Family Office,250.0,1,2024-09-01,Defence,Other,Nan,0.2,5.0,2024-09-01
Asquare Investing,250.0,1,2024-09-01,Defence,Other,Nan,0.2,5.0,2024-09-01
Abakkus Four2Eight Opportunities Fund,250.0,1,2025-01-24,Nutraceutical,Equity,Hyderabad,0.33,3.0,2025-01-24
Promoters And Employees,250.0,1,2024-08-08,Healthcare,Other,Nan,0.5,2.0,2024-08-08
